Name	Type	Microbiome	SRA_accession	Comments
	amplicon	Unknown	ERR5953124	
	amplicon	Unknown	ERR5953125	
	amplicon	Unknown	ERR5953126	
	amplicon	Unknown	ERR5953127	
	amplicon	Unknown	ERR5953128	
	amplicon	Unknown	ERR5953129	
	amplicon	Unknown	ERR5953130	
	amplicon	Unknown	ERR5953131	
	amplicon	Unknown	ERR5953132	
	amplicon	Unknown	ERR5953133	
	amplicon	Unknown	ERR5953134	
	amplicon	Unknown	ERR5953135	
	amplicon	Unknown	ERR5953136	
	amplicon	Unknown	ERR5953137	
	amplicon	Unknown	ERR5953138	
	amplicon	Unknown	ERR5953139	
	amplicon	Unknown	ERR5953140	
	amplicon	Unknown	ERR5953141	
	amplicon	Unknown	ERR5953142	
	amplicon	Unknown	ERR5953143	
	amplicon	Unknown	ERR5953144	
	amplicon	Unknown	ERR5953145	
	amplicon	Unknown	ERR5953146	
	amplicon	Unknown	ERR5953147	
	amplicon	Unknown	ERR5953148	
	amplicon	Unknown	ERR5953149	
	amplicon	Unknown	ERR5953150	
	amplicon	Unknown	ERR5953151	
	amplicon	Unknown	ERR5953152	
	amplicon	Unknown	ERR5953153	
	amplicon	Unknown	ERR5953154	
	amplicon	Unknown	ERR5953155	
	amplicon	Unknown	ERR5953156	
	amplicon	Unknown	ERR5953157	
	amplicon	Unknown	ERR5953158	
	amplicon	Unknown	ERR5953159	
	amplicon	Unknown	ERR5953160	
	amplicon	Unknown	ERR5953161	
	amplicon	Unknown	ERR5953162	
	amplicon	Unknown	ERR5953163	
	amplicon	Unknown	ERR5953164	
	amplicon	Unknown	ERR5953165	
	amplicon	Unknown	ERR5953166	
	amplicon	Unknown	ERR5953167	
	amplicon	Unknown	ERR5953168	
	amplicon	Unknown	ERR5953169	
	amplicon	Unknown	ERR5953170	
	amplicon	Unknown	ERR5953171	
	amplicon	Unknown	ERR5953172	
	amplicon	Unknown	ERR5953173	
	amplicon	Unknown	ERR5953174	
	amplicon	Unknown	ERR5953175	
	amplicon	Unknown	ERR5953176	
	amplicon	Unknown	ERR5953177	
	amplicon	Unknown	ERR5953178	
	amplicon	Unknown	ERR5953179	
	amplicon	Unknown	ERR5953180	
	amplicon	Unknown	ERR5953181	
	amplicon	Unknown	ERR5953182	
	amplicon	Unknown	ERR5953183	
	amplicon	Unknown	ERR5953184	
	amplicon	Unknown	ERR5953185	
	amplicon	Unknown	ERR5953186	
	amplicon	Unknown	ERR5953187	
	amplicon	Unknown	ERR5953188	
	amplicon	Unknown	ERR5953189	
	amplicon	Unknown	ERR5953190	
	amplicon	Unknown	ERR5953191	
	amplicon	Unknown	ERR5953192	
	amplicon	Unknown	ERR5953193	
	amplicon	Unknown	ERR5953194	
	amplicon	Unknown	ERR5953195	
	amplicon	Unknown	ERR5953196	
	amplicon	Unknown	ERR5953197	
	amplicon	Unknown	ERR5953198	
	amplicon	Unknown	ERR5953199	
	amplicon	Unknown	ERR5953200	
	amplicon	Unknown	ERR5953201	
	amplicon	Unknown	ERR5953202	
	amplicon	Unknown	ERR5953203	
	amplicon	Unknown	ERR5953204	
	amplicon	Unknown	ERR5953205	
	amplicon	Unknown	ERR5953206	
	amplicon	Unknown	ERR5953207	
	amplicon	Unknown	ERR5953208	
	amplicon	Unknown	ERR5953209	
	amplicon	Unknown	ERR5953210	
	amplicon	Unknown	ERR5953211	
	amplicon	Unknown	ERR5953212	
	amplicon	Unknown	ERR5953213	
	amplicon	Unknown	ERR5953214	
	amplicon	Unknown	ERR5953215	
	amplicon	Unknown	ERR5953216	
	amplicon	Unknown	ERR5953217	
	amplicon	Unknown	ERR5953218	
	amplicon	Unknown	ERR5953219	
	amplicon	Unknown	ERR5953220	
	amplicon	Unknown	ERR5953221	
	amplicon	Unknown	ERR5953222	
	amplicon	Unknown	ERR5953223	
	amplicon	Unknown	ERR5953224	
	amplicon	Unknown	ERR5953225	
	amplicon	Unknown	ERR5953226	
	amplicon	Unknown	ERR5953227	
	amplicon	Unknown	ERR5953228	
	amplicon	Unknown	ERR5953229	
	amplicon	Unknown	ERR5953230	
	amplicon	Unknown	ERR5953231	
	amplicon	Unknown	ERR5953232	
